Recorded, Language, URL
09/23/2017 14:06:38, en-US, https://www.jw.org
10/02/2017 13:59:58, en-us, https://www.jw.org/finder?docid=1011214&item=docid-502017855_1_VIDEO&prefer=content&srcid=share
08/15/2017 18:07:57, en-US, https://www.jw.org/finder?docid=1011214
10/02/2017 13:06:47, , https://www.jw.org/finder?docid=1011214&item=pub-wsb_x_VIDEO&prefer=content&srcid=share
09/16/2017 17:11:37, , https://www.jw.org/finder?docid=1011214&item=pub-nwtsv_170_VIDEO&prefer=content&srcid=share
08/15/2017 10:27:42, en-US, https://www.jw.org/en/publications/books/good-news-from-god/
10/19/2017 05:49:46, en-US, https://www.jw.org/finder?docid=1011214&item=pub-nwtsv_190_VIDEO&prefer=content&srcid=share
08/15/2017 18:44:35, en-US, https://www.jw.org/finder?docid=1011214
09/21/2017 17:00:44, en-us, https://www.jw.org/finder?docid=1011214&item=pub-imv_1_VIDEO&prefer=content&srcid=share
09/11/2017 15:07:54, , https://www.jw.org
10/18/2017 14:14:23, en-US, https://www.jw.org
10/02/2017 16:18:23, en-US, https://www.jw.org/finder?docid=1011214&item=docid-702014127_1_VIDEO&prefer=content&srcid=share
09/23/2017 16:07:07, en-us, https://www.jw.org/finder?docid=1011214&item=pub-imv_1_VIDEO&prefer=content&srcid=share
09/28/2017 15:54:32, en-us, https://www.jw.org/finder?docid=1011214&item=docid-502017855_1_VIDEO&prefer=content&srcid=share
10/05/2017 17:40:29, en-us, https://www.jw.org
10/02/2017 13:55:45, en-us, https://www.jw.org/finder?docid=1011214&item=pub-whbs_x_VIDEO&prefer=content&srcid=share
09/11/2017 14:02:05, en-US, https://www.jw.org/finder?docid=1011214&item=docid-702014127_1_VIDEO&prefer=content&srcid=share
09/30/2017 14:54:41, , https://www.jw.org/finder?docid=1011214&item=pub-nwtsv_170_VIDEO&prefer=content&srcid=share
10/12/2017 10:50:38, , https://www.jw.org/finder?docid=1011214&item=pub-imv_3_VIDEO&prefer=content&srcid=share
10/02/2017 13:00:59, , https://www.jw.org
09/28/2017 15:29:17, en-us, https://www.jw.org/finder?docid=1011214&item=docid-502017855_1_VIDEO&prefer=content&srcid=share
09/23/2017 14:17:06, en-US, https://www.jw.org
